NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 133 POTEF    14.76 10 2017          JUAZEIRO N                                                                                                                                                         
 133 FCMAX     0.00 10 2017                                                                                                                                                                             
  57 POTEF   168.00 10 2017          MARACANAU I                                                                                                                                                        
  57 FCMAX    98.03 10 2017                                                                                                                                                                             
 135 POTEF    13.12 10 2017          MARAMBAIA                                                                                                                                                          
 135 FCMAX     0.00 10 2017                                                                                                                                                                             
 164 POTEF   147.16 10 2017          MURICY                                                                                                                                                             
 138 POTEF    13.12 10 2017          NAZARIA                                                                                                                                                            
 138 FCMAX     0.00 10 2017                                                                                                                                                                             
 167 POTEF   720.28 10 2017          P. PECEM I                                                                                                                                                         
 167 IPTER     0.00  1 2018  4 2018                                                                                                                                                                     
 167 IPTER    17.74  5 2018  5 2018                                                                                                                                                                     
 167 IPTER     0.00  6 2018  9 2018                                                                                                                                                                     
 167 IPTER    17.74 10 2018 10 2018                                                                                                                                                                     
 167 IPTER     0.00 11 2018  7 2019                                                                                                                                                                     
 167 IPTER    16.13  8 2019  8 2019                                                                                                                                                                     
 167 IPTER     0.00  9 2019 10 2019                                                                                                                                                                     
 167 IPTER    26.67 11 2019 11 2019                                                                                                                                                                     
 167 IPTER     0.00 12 2019  7 2020                                                                                                                                                                     
 167 IPTER    25.81  8 2020  8 2020                                                                                                                                                                     
 167 IPTER     0.00  9 2020 10 2020                                                                                                                                                                     
 167 IPTER    16.67 11 2020 11 2020                                                                                                                                                                     
 167 IPTER     0.00 12 2020  7 2021                                                                                                                                                                     
 167 IPTER    16.13  8 2021  8 2021                                                                                                                                                                     
 167 IPTER     0.00  9 2021 10 2021                                                                                                                                                                     
 167 IPTER    26.67 11 2021 11 2021                                                                                                                                                                     
 167 IPTER     0.00 12 2021                                                                                                                                                                             
 224 POTEF  1515.64 10 2017          P. SERGIPE I                                                                                                                                                       
 224 IPTER     0.00  1 2018  1 2018
 224 IPTER     2.05  2 2018                                                                                                                                                    
 160 POTEF    94.08 10 2017          PAU FERRO I                                                                                                                                                        
 162 POTEF   144.00 11 2018          PECEM II                                                                                                                                                           
  98 POTEF   200.79 10 2017          PERNAMBU_III                                                                                                                                                       
 144 POTEF   136.20 10 2017          PETROLINA                                                                                                                                                          
 144 FCMAX    96.92 10 2017                                                                                                                                                                             
 144 IPTER     0.00  1 2018  8 2018                                                                                                                                                                     
 144 IPTER    25.00  9 2018  9 2018                                                                                                                                                                     
 144 IPTER    24.19 10 2018 10 2018                                                                                                                                                                     
 144 IPTER    25.00 11 2018 11 2018                                                                                                                                                                     
 144 IPTER    24.19 12 2018 12 2018                                                                                                                                                                     
 151 POTEF    53.12 10 2017          POTIGUAR                                                                                                                                                           
 151 IPTER     0.00  1 2018  2 2018                                                                                                                                                                     
 151 IPTER     3.23  3 2018  3 2018                                                                                                                                                                     
 151 IPTER     0.00  4 2018  5 2018                                                                                                                                                                     
